"id","name","review_count","categories1","categories2","categories3","rating","latitude","longitude","price","distance"
"the-dapper-goose-buffalo","The Dapper Goose","48","newamerican","bars","","5.0","42.9395633822","-78.8860647753","$$$","6094.28540495"
"la-delicias-taqueria-buffalo","La Delicias Taqueria","47","tacos","","","4.5","42.8916588877","-78.8739190623","$","6323.77117346"
"osteria-166-buffalo","Osteria 166","332","italian","comfortfood","","4.0","42.8878173828","-78.8763809204","$$","6750.20121194"
"roost-buffalo","Roost","47","newamerican","wine_bars","soup","4.0","42.9246362174","-78.898354657","$$$","6940.92892336"
"allen-street-poutine-company-buffalo","Allen Street Poutine Company","214","poutineries","newamerican","","4.5","42.89936","-78.87909","$","6186.99529807"
"toutant-buffalo-2","Toutant","250","southern","bbq","seafood","4.0","42.8901837569","-78.870422824","$$","6210.95161144"
"rus-pierogi-buffalo","Ru's Pierogi","88","polish","sandwiches","beerbar","4.5","42.892655","-78.8838262272","$$","6911.39753436"
"ballyhoo-buffalo","Ballyhoo","109","newamerican","cocktailbars","","4.5","42.8727989197","-78.8716125488","$$","7684.70375084"
"big-ditch-brewing-company-buffalo","Big Ditch Brewing Company","256","breweries","burgers","beerbar","4.0","42.888192","-78.8708411","$$","6384.55272658"
"buffalo-proper-plate-and-pour-buffalo-2","Buffalo Proper Plate & Pour","172","cocktailbars","newamerican","desserts","4.0","42.8937759399","-78.8739013672","$$","6177.81353057"
"the-left-bank-buffalo","The Left Bank","280","newamerican","wine_bars","diners","4.0","42.91279","-78.88295","$$","5900.52827192"
"lockhouse-distillery-buffalo-3","Lockhouse Distillery","33","distilleries","bars","newamerican","4.5","42.87361","-78.87211","$$","7661.99741184"
"marble-rye-buffalo","Marble + Rye","83","cocktailbars","newamerican","","4.0","42.8899841309","-78.870010376","$$","6201.30683682"
"melting-point-buffalo-3","Melting Point","110","comfortfood","sandwiches","","4.5","42.8992881775","-78.8791046143","$","6193.76675705"
"black-iron-bystro-buffalo-2","Black Iron Bystro","90","pubs","newamerican","","4.5","42.799985","-78.823495","$$","14157.6665359"
"las-puertas-buffalo","Las Puertas","9","latin","","","4.5","42.9107888138","-78.8870550318","$$$","6283.14048835"
"the-mahony-buffalo","The Mahony","46","newamerican","beerbar","cocktailbars","4.5","42.8756217957","-78.8693161011","$$","7324.32907266"
"giacobbis-cucina-citta-buffalo","Giacobbi's Cucina Citta","38","italian","bars","","4.5","42.8994675726","-78.8725367188","$$","5722.59352602"
"casa-azul-buffalo","Casa Azul","43","tacos","","","4.5","42.890076","-78.869438","$","6158.93629423"
"sun-cuisines-buffalo","Sun Cuisines","403","burmese","thai","sushi","4.5","42.938417","-78.903854","$$","7489.4418849"
"sear-steakhouse-buffalo-2","SEAR","47","steak","cocktailbars","desserts","4.0","42.88996","-78.87717","$$$$","6711.74377956"
"tappo-buffalo","Tappo","298","wine_bars","italian","sandwiches","4.0","42.887763","-78.8716759","$$","6466.57917704"
"billy-club-buffalo-2","Billy Club","31","newamerican","whiskeybars","tradamerican","4.5","42.89923","-78.87864","$$","6162.85004818"
"the-twilight-room-buffalo","The Twilight Room","31","bars","tradamerican","","4.0","42.8976052361","-78.8738325611","$$","5928.57263076"
"midtown-kitchen-buffalo-2","Midtown Kitchen","59","newamerican","","","3.5","42.9094238281","-78.8767852783","$$","5534.87849908"
"stack-burger-buffalo","Stack Burger","35","burgers","","","4.0","42.838575233","-78.7885114243","$","10044.6724355"
"shango-new-orleans-bistro-wine-bar-buffalo","Shango New Orleans Bistro / Wine Bar","259","cajun","breakfast_brunch","","4.0","42.9528","-78.82459","$$","3000.92969971"
"frankie-primos-39-buffalo","Frankie Primo's +39","40","italian","bars","","4.5","42.8903997788","-78.8748135462","$$","6468.67453772"
"raclettes-buffalo","Raclettes","79","french","fondue","wine_bars","4.0","42.8881","-78.87322","$$","6534.88181972"
"allen-burger-venture-buffalo","Allen Burger Venture","316","gastropubs","burgers","salad","4.0","42.8995051235","-78.8765318692","$$","5992.93995433"
"liberty-hound-buffalo","Liberty Hound","163","seafood","newamerican","cocktailbars","3.5","42.877395","-78.879642","$$","7735.27339792"
"la-divina-mexican-store-buffalo","La Divina Mexican Store","267","mexican","intlgrocery","","4.5","42.9631195068","-78.8704605103","$","6148.11155153"
"panorama-on-seven-buffalo","Panorama On Seven","20","cocktailbars","newamerican","","3.5","42.8768578917","-78.8771025091","$$","7617.59201976"
"shack-on-delaware-buffalo","Shack On Delaware","80","sandwiches","hotdogs","burgers","4.5","42.986453439","-78.8728179978","$","8194.27325932"
"the-black-sheep-buffalo","The Black Sheep","129","modern_european","tapasmallplates","cocktailbars","4.0","42.90588","-78.88722","$$$","6473.24860387"
"tempo-restaurant-buffalo","Tempo Restaurant","113","italian","desserts","bars","4.0","42.89991","-78.87326","$$$$","5753.48191051"
"bacchus-wine-bar-and-restaurant-buffalo-3","Bacchus Wine Bar and Restaurant","175","newamerican","wine_bars","venues","4.5","42.890327","-78.874997","$$$","6485.33362073"
"sophias-restaurant-buffalo","Sophia's Restaurant","375","breakfast_brunch","diners","","4.5","42.9577026367","-78.8890838623","$","7063.54453796"
"winfields-pub-buffalo","Winfield's Pub","51","gastropubs","","","4.5","42.827983","-78.807159","$$","11030.089664"
"coco-buffalo-2","Coco","119","newamerican","modern_european","","4.0","42.8981319","-78.870751","$$","5687.73940591"
"hutchs-buffalo","Hutch's","140","newamerican","bars","","4.0","42.921196","-78.867583","$$$","4478.54345043"
"la-tavola-trattoria-buffalo","La Tavola Trattoria","108","italian","pizza","","4.0","42.9477079","-78.8541068","$$","4045.10409252"
"pierce-arrow-burger-bar-buffalo","Pierce Arrow Burger Bar","13","burgers","","","4.0","42.9426422119","-78.8788833618","$","5622.38282104"
"the-delaware-buffalo","The Delaware","137","newamerican","","","4.0","42.976978302","-78.8723602295","$$","7347.30014808"
"william-ks-restaurant-buffalo","William K's Restaurant","44","newamerican","","","3.5","42.8788649","-78.8857501","$$$","7906.9761356"
"oshun-buffalo-2","Oshun","193","seafood","","","4.0","42.8882751465","-78.8726806641","$$","6489.58420954"
"patina-250-buffalo","Patina 250","49","newamerican","coffee","breakfast_brunch","3.5","42.8913029283","-78.8766337931","$$","6522.28326246"
"the-tewksbury-lodge-buffalo","The Tewksbury Lodge","10","tradamerican","venues","","4.0","42.8700837527","-78.8705630891","$","7875.466224"
"gabriels-gate-buffalo","Gabriel's Gate","309","tradamerican","steak","seafood","4.0","42.89967","-78.87535","$$","5912.90184344"
"altons-buffalo","Alton's","112","diners","greek","","4.0","42.907751","-78.753201","$$","5335.47065144"
"pasión-latin-cuisine-buffalo","Pasión Latin Cuisine","102","latin","cuban","","3.5","42.9011802673","-78.8767623901","$$","5929.39339416"
"hearth-press-buffalo","Hearth + Press","35","coffee","pizza","","4.0","42.8919590559","-78.872060962","$$","6185.13860251"
"the-phoenix-buffalo","The Phoenix","65","newamerican","","","4.0","42.936583","-78.893366","$$","6613.65836898"
"balkan-dining-buffalo","Balkan Dining","114","turkish","mediterranean","","4.5","42.9584048983","-78.843376413","$","4263.26075116"
"mothers-restaurant-buffalo","Mother's Restaurant","179","newamerican","tradamerican","","3.5","42.8977088928","-78.8732910156","$$","5885.87684056"
"thin-man-brewery-buffalo","Thin Man Brewery","88","breweries","gastropubs","","3.5","42.9103912","-78.8774115","$$","5550.45884149"
"ristorante-lombardo-buffalo","Ristorante Lombardo","98","italian","","","4.5","42.948032","-78.863815","$$$","4740.42088792"
"lloyd-taco-factory-buffalo","Lloyd Taco Factory","245","tacos","","","4.0","42.9473998","-78.8525618","$","3922.52163032"
"727-elmwood-buffalo-2","727 Elmwood","35","newamerican","","","3.0","42.916973114","-78.8766326904","$$","5298.46645308"
"duffs-famous-wings-buffalo","Duff's Famous Wings","794","chicken_wings","","","4.0","42.9790840149","-78.7982711792","$$","5912.96541237"
"seabar-buffalo","Seabar","220","sushi","newamerican","","4.0","42.89126","-78.86998","$$","6105.25724134"
"blackthorn-restaurant-and-pub-buffalo","Blackthorn Restaurant & Pub","114","tradamerican","pubs","irish","4.0","42.8543815613","-78.8080596924","$$","8096.5176025"
"founding-fathers-pub-buffalo","Founding Fathers Pub","150","tradamerican","bars","","4.0","42.8958015442","-78.8742446899","$","6069.59684188"
"providence-social-buffalo","Providence Social","168","tapasmallplates","pubs","cocktailbars","4.0","42.9125752","-78.8837637","$$","5970.49722523"
"brick-oven-bistro-buffalo-2","Brick Oven Bistro","75","pizza","sandwiches","","4.0","42.83972","-78.8079","$$","9731.32975322"
"falley-allen-buffalo","Falley Allen","13","newamerican","pizza","cocktailbars","3.5","42.8992","-78.87761","$$","6095.06303804"
"bobby-js-italian-american-grille-buffalo","Bobby J's Italian American Grille","29","italian","","","4.5","42.8932449478","-78.7500130758","$$","6372.7374351"
"breadhive-cafe-buffalo","Breadhive Cafe","49","cafes","bakeries","","4.5","42.906665802","-78.8865432739","$","6390.15451725"
"deep-south-taco-buffalo-2","Deep South Taco","358","mexican","","","3.5","42.8864","-78.87156","$$","6555.98815288"
"the-burning-buffalo-bar-and-grill-buffalo","The Burning Buffalo Bar & Grill","20","tradamerican","salad","cocktailbars","3.5","42.948","-78.8524599","$$","3946.21916182"
"hydraulic-hearth-buffalo","Hydraulic Hearth","170","pizza","cocktailbars","","3.5","42.876663208","-78.8496017456","$$","6342.80161896"
"pearl-street-grill-and-brewery-buffalo-2","Pearl Street Grill & Brewery","398","tradamerican","breweries","bars","3.5","42.8807678392","-78.8771688938","$$","7327.39325602"
"san-marco-restaurant-buffalo","San Marco Restaurant","75","italian","","","4.5","42.9512799","-78.78209","$$$","3691.10819436"
